city,year,week_number,temp_mean_C,dewpoint_mean_C,RH_mean
 Ancona,2001,1,8.22,4.76,79.6
 Ancona,2001,2,7.75,4.06,78.3
 Ancona,2001,3,5.59,3.61,87.4
 Ancona,2001,4,9.14,5.87,80.6
 Ancona,2001,5,6.21,1.92,75.0
 Ancona,2001,6,9.56,5.78,78.1
 Ancona,2001,7,7.03,2.69,75.6
 Ancona,2001,8,7.64,2.24,70.5
 Ancona,2001,9,7.44,2.89,74.2
 Ancona,2001,10,11.84,8.02,78.3
 Ancona,2001,11,13.0,7.75,71.6
 Ancona,2001,12,16.83,8.79,60.2
 Ancona,2001,13,12.85,7.61,72.0
 Ancona,2001,14,11.83,6.5,71.5
 Ancona,2001,15,10.45,4.85,70.2
 Ancona,2001,16,10.47,5.15,71.3
 Ancona,2001,17,14.6,9.45,72.9
 Ancona,2001,18,17.29,13.61,80.1
 Ancona,2001,19,16.48,11.28,73.0
 Ancona,2001,20,18.35,12.93,72.1
 Ancona,2001,21,18.79,14.02,76.2
 Ancona,2001,22,22.8,13.32,57.4
 Ancona,2001,23,20.57,10.1,54.3
 Ancona,2001,24,22.25,11.4,53.2
 Ancona,2001,25,21.93,11.66,55.1
 Ancona,2001,26,25.02,15.49,58.7
 Ancona,2001,27,24.86,14.66,56.0
 Ancona,2001,28,25.54,16.43,59.3
 Ancona,2001,29,24.79,12.48,48.8
 Ancona,2001,30,25.64,16.08,58.5
 Ancona,2001,31,28.46,16.13,49.8
 Ancona,2001,32,25.98,15.43,54.5
 Ancona,2001,33,25.08,15.29,56.7
 Ancona,2001,34,24.66,18.2,69.4
 Ancona,2001,35,24.95,15.9,59.6
 Ancona,2001,36,20.63,11.4,59.0
 Ancona,2001,37,17.07,9.87,65.6
 Ancona,2001,38,15.89,10.97,74.7
 Ancona,2001,39,18.22,12.86,72.8
 Ancona,2001,40,20.22,16.0,78.1
 Ancona,2001,41,18.88,14.7,78.1
 Ancona,2001,42,16.92,12.93,79.2
 Ancona,2001,43,15.15,10.68,76.5
 Ancona,2001,44,13.02,8.36,75.0
 Ancona,2001,45,11.83,8.61,82.1
 Ancona,2001,46,8.94,5.76,81.3
 Ancona,2001,47,7.03,1.94,72.1
 Ancona,2001,48,7.75,4.11,78.7
 Ancona,2001,49,6.38,2.29,76.0
 Ancona,2001,50,3.67,-0.91,72.7
 Ancona,2001,51,3.42,-0.91,74.4
 Ancona,2001,52,3.52,-1.51,70.3
 Ancona,2001,53,4.88,0.61,75.8
 Ancona,2002,1,1.04,-5.45,64.2
 Ancona,2002,2,2.08,-1.94,76.4
 Ancona,2002,3,3.08,-0.28,79.3
 Ancona,2002,4,6.87,3.81,81.5
 Ancona,2002,5,6.79,4.92,88.3
 Ancona,2002,6,8.19,4.81,80.2
 Ancona,2002,7,8.83,6.53,86.5
 Ancona,2002,8,7.86,2.56,71.0
 Ancona,2002,9,11.54,6.19,70.7
 Ancona,2002,10,10.68,6.62,77.6
 Ancona,2002,11,10.53,6.41,77.6
 Ancona,2002,12,11.79,3.91,59.8
 Ancona,2002,13,8.44,1.42,63.6
 Ancona,2002,14,10.66,6.51,76.8
 Ancona,2002,15,12.16,8.56,80.4
 Ancona,2002,16,12.98,9.42,79.8
 Ancona,2002,17,14.87,8.33,66.9
 Ancona,2002,18,16.73,10.62,69.6
 Ancona,2002,19,16.58,13.06,81.0
 Ancona,2002,20,19.4,11.43,63.4
 Ancona,2002,21,19.76,14.59,73.6
 Ancona,2002,22,19.76,11.8,62.6
 Ancona,2002,23,19.84,13.01,66.7
 Ancona,2002,24,23.94,13.84,56.6
 Ancona,2002,25,27.64,16.65,54.3
 Ancona,2002,26,24.02,14.76,58.2
 Ancona,2002,27,25.31,15.38,56.9
 Ancona,2002,28,25.22,16.85,62.8
 Ancona,2002,29,23.14,16.67,69.2
 Ancona,2002,30,23.46,16.97,68.4
 Ancona,2002,31,25.35,19.33,70.9
 Ancona,2002,32,22.64,15.29,65.2
 Ancona,2002,33,23.31,16.26,66.8
 Ancona,2002,34,23.13,18.78,77.8
 Ancona,2002,35,21.35,17.5,79.7
 Ancona,2002,36,19.94,16.82,83.4
 Ancona,2002,37,18.37,13.52,74.8
 Ancona,2002,38,20.36,15.36,74.6
 Ancona,2002,39,14.37,9.82,75.1
 Ancona,2002,40,14.92,10.98,79.0
 Ancona,2002,41,15.72,12.56,82.6
 Ancona,2002,42,16.41,9.46,65.7
 Ancona,2002,43,17.31,11.29,69.3
 Ancona,2002,44,14.96,10.94,78.3
 Ancona,2002,45,8.89,4.03,73.1
 Ancona,2002,46,15.85,10.65,73.2
 Ancona,2002,47,13.45,8.79,74.6
 Ancona,2002,48,12.65,9.62,82.3
 Ancona,2002,49,9.78,6.75,81.8
 Ancona,2002,50,7.38,5.77,89.8
 Ancona,2002,51,7.11,4.2,82.3
 Ancona,2002,52,9.43,7.3,87.0
 Ancona,2002,53,10.27,8.07,86.3
 Ancona,2003,1,9.27,4.61,73.9
 Ancona,2003,2,3.06,-0.64,78.0
 Ancona,2003,3,5.49,2.19,80.4
 Ancona,2003,4,7.87,3.2,73.3
 Ancona,2003,5,4.52,-0.54,71.1
 Ancona,2003,6,2.82,-3.04,67.4
 Ancona,2003,7,2.24,-2.24,73.0
 Ancona,2003,8,3.46,-1.5,71.3
 Ancona,2003,9,7.17,3.61,79.4
 Ancona,2003,10,8.81,3.94,73.8
 Ancona,2003,11,8.05,0.74,60.9
 Ancona,2003,12,7.31,-0.05,62.0
 Ancona,2003,13,11.34,5.65,70.9
 Ancona,2003,14,7.75,1.49,66.9
 Ancona,2003,15,10.55,4.91,69.8
 Ancona,2003,16,13.18,6.97,68.4
 Ancona,2003,17,16.06,7.92,61.6
 Ancona,2003,18,19.51,11.2,61.4
 Ancona,2003,19,21.36,13.98,66.0
 Ancona,2003,20,18.38,10.05,60.7
 Ancona,2003,21,18.62,10.64,62.2
 Ancona,2003,22,22.08,15.84,69.2
 Ancona,2003,23,24.81,16.94,64.3
 Ancona,2003,24,27.46,18.64,61.0
 Ancona,2003,25,26.57,16.36,57.1
 Ancona,2003,26,27.22,17.67,59.6
 Ancona,2003,27,24.74,14.21,55.2
 Ancona,2003,28,26.06,17.35,60.7
 Ancona,2003,29,27.82,15.94,50.8
 Ancona,2003,30,27.57,17.9,57.9
 Ancona,2003,31,25.74,17.21,61.5
 Ancona,2003,32,28.82,16.9,50.7
 Ancona,2003,33,28.88,17.41,53.3
 Ancona,2003,34,26.03,18.67,66.2
 Ancona,2003,35,25.3,16.25,61.1
 Ancona,2003,36,19.43,13.16,69.5
 Ancona,2003,37,18.44,12.29,69.1
 Ancona,2003,38,19.24,12.11,66.9
 Ancona,2003,39,17.58,13.33,77.3
 Ancona,2003,40,19.17,12.56,67.7
 Ancona,2003,41,16.75,10.3,68.4
 Ancona,2003,42,13.28,7.64,69.8
 Ancona,2003,43,10.95,6.6,75.8
 Ancona,2003,44,13.46,9.21,76.4
 Ancona,2003,45,11.52,7.67,78.0
 Ancona,2003,46,11.2,8.11,81.9
 Ancona,2003,47,12.07,9.83,86.6
 Ancona,2003,48,10.33,7.39,82.7
 Ancona,2003,49,8.88,5.12,78.4
 Ancona,2003,50,8.06,3.85,77.6
 Ancona,2003,51,5.26,0.19,71.7
 Ancona,2003,52,5.16,0.01,71.3
 Ancona,2003,53,7.44,6.1,91.3
 Ancona,2004,1,4.17,0.66,78.7
 Ancona,2004,2,8.68,4.51,76.4
 Ancona,2004,3,7.93,2.54,70.6
 Ancona,2004,4,2.24,-2.27,73.7
 Ancona,2004,5,5.17,-0.32,70.1
 Ancona,2004,6,7.7,2.3,70.5
 Ancona,2004,7,4.82,-0.18,72.0
 Ancona,2004,8,8.4,5.74,84.2
 Ancona,2004,9,4.14,0.8,79.8
 Ancona,2004,10,5.01,0.22,72.4
 Ancona,2004,11,9.15,6.06,82.1
 Ancona,2004,12,12.41,6.4,68.2
 Ancona,2004,13,9.15,4.29,73.5
 Ancona,2004,14,13.3,8.3,73.6
 Ancona,2004,15,10.01,7.45,84.7
 Ancona,2004,16,12.14,9.19,83.1
 Ancona,2004,17,14.1,9.34,74.5
 Ancona,2004,18,15.84,11.51,77.0
 Ancona,2004,19,13.53,7.09,67.0
 Ancona,2004,20,15.73,8.33,64.6
 Ancona,2004,21,17.62,7.08,53.3
 Ancona,2004,22,17.8,11.62,69.6
 Ancona,2004,23,19.01,12.88,70.7
 Ancona,2004,24,22.64,13.14,59.2
 Ancona,2004,25,23.05,12.48,54.2
 Ancona,2004,26,25.56,14.78,53.8
 Ancona,2004,27,26.68,16.02,55.0
 Ancona,2004,28,23.71,11.03,47.8
 Ancona,2004,29,25.78,14.44,52.5
 Ancona,2004,30,25.04,17.36,65.2
 Ancona,2004,31,24.99,15.93,59.8
 Ancona,2004,32,24.22,20.3,80.0
 Ancona,2004,33,25.44,16.41,60.0
 Ancona,2004,34,25.52,14.22,52.5
 Ancona,2004,35,23.29,14.42,59.8
 Ancona,2004,36,22.74,15.72,66.8
 Ancona,2004,37,21.86,13.99,62.9
 Ancona,2004,38,19.43,15.33,79.1
 Ancona,2004,39,17.03,11.02,69.3
 Ancona,2004,40,18.78,14.49,77.6
 Ancona,2004,41,17.87,14.28,80.6
 Ancona,2004,42,15.58,10.93,75.6
 Ancona,2004,43,18.4,15.54,84.2
 Ancona,2004,44,18.73,16.23,86.2
 Ancona,2004,45,12.53,8.98,79.9
 Ancona,2004,46,10.27,6.96,80.9
 Ancona,2004,47,7.79,2.03,69.6
 Ancona,2004,48,8.71,5.76,82.5
 Ancona,2004,49,11.64,10.23,91.2
 Ancona,2004,50,7.76,4.95,83.2
