flu_season,region,age_class,population
2010-2011,Alabama,0-5,297769.88
2010-2011,Alabama,10-14,326586.32
2010-2011,Alabama,15-19,336191.80000000005
2010-2011,Alabama,20-24,345797.28
2010-2011,Alabama,25-29,307375.36
2010-2011,Alabama,30-34,302572.62
2010-2011,Alabama,35-39,297769.88
2010-2011,Alabama,40-44,316980.84
2010-2011,Alabama,45-49,340994.54
2010-2011,Alabama,5-9,302572.62
2010-2011,Alabama,50-54,345797.28
2010-2011,Alabama,55-59,312178.10000000003
2010-2011,Alabama,60-64,297769.88
2010-2011,Alabama,65-69,220926.04
2010-2011,Alabama,70-74,158490.42
2010-2011,Alabama,75-79,124871.24
2010-2011,Alabama,80-84,86449.32
2010-2011,Alabama,85+,81646.58
2010-2011,Alabama,total,4802740.0
2010-2011,Alaska,0-5,54203.85
2010-2011,Alaska,10-14,52758.414
2010-2011,Alaska,15-19,49867.542
2010-2011,Alaska,20-24,58540.158
2010-2011,Alaska,25-29,57094.722
2010-2011,Alaska,30-34,49144.824
2010-2011,Alaska,35-39,46976.67
2010-2011,Alaska,40-44,46253.952
2010-2011,Alaska,45-49,51312.977999999996
2010-2011,Alaska,5-9,50590.26
2010-2011,Alaska,50-54,56372.004
2010-2011,Alaska,55-59,52758.414
2010-2011,Alaska,60-64,38304.054
2010-2011,Alaska,65-69,22404.258
2010-2011,Alaska,70-74,15177.078000000001
2010-2011,Alaska,75-79,9395.334
2010-2011,Alaska,80-84,6504.462
2010-2011,Alaska,85+,5059.026
2010-2011,Alaska,total,722718.0
2010-2011,Arizona,0-5,447292.84500000003
2010-2011,Arizona,10-14,453775.35000000003
2010-2011,Arizona,15-19,453775.35000000003
2010-2011,Arizona,20-24,460257.855
2010-2011,Arizona,25-29,440810.34
2010-2011,Arizona,30-34,427845.33
2010-2011,Arizona,35-39,401915.31
2010-2011,Arizona,40-44,421362.825
2010-2011,Arizona,45-49,414880.32
2010-2011,Arizona,5-9,453775.35000000003
2010-2011,Arizona,50-54,421362.825
2010-2011,Arizona,55-59,388950.3
2010-2011,Arizona,60-64,369502.78500000003
2010-2011,Arizona,65-69,291712.725
2010-2011,Arizona,70-74,226887.67500000002
2010-2011,Arizona,75-79,168545.13
2010-2011,Arizona,80-84,123167.595
2010-2011,Arizona,85+,110202.585
2010-2011,Arizona,total,6482505.0
2010-2011,Arkansas,0-5,196844.59300000002
2010-2011,Arkansas,10-14,199782.57200000001
2010-2011,Arkansas,15-19,196844.59300000002
2010-2011,Arkansas,20-24,202720.551
2010-2011,Arkansas,25-29,190968.635
2010-2011,Arkansas,30-34,190968.635
2010-2011,Arkansas,35-39,182154.698
2010-2011,Arkansas,40-44,185092.677
2010-2011,Arkansas,45-49,202720.551
2010-2011,Arkansas,5-9,196844.59300000002
2010-2011,Arkansas,50-54,199782.57200000001
2010-2011,Arkansas,55-59,188030.65600000002
2010-2011,Arkansas,60-64,176278.74
2010-2011,Arkansas,65-69,132209.055
2010-2011,Arkansas,70-74,105767.244
2010-2011,Arkansas,75-79,82263.412
2010-2011,Arkansas,80-84,58759.58
2010-2011,Arkansas,85+,49945.643000000004
2010-2011,Arkansas,total,2937979.0
2010-2011,California,0-5,2525358.1040000003
2010-2011,California,10-14,2563050.0160000003
2010-2011,California,15-19,2751509.576
2010-2011,California,20-24,2864585.312
2010-2011,California,25-29,2751509.576
2010-2011,California,30-34,2638433.8400000003
2010-2011,California,35-39,2525358.1040000003
2010-2011,California,40-44,2638433.8400000003
2010-2011,California,45-49,2638433.8400000003
2010-2011,California,5-9,2525358.1040000003
2010-2011,California,50-54,2600741.9280000003
2010-2011,California,55-59,2261514.7199999997
2010-2011,California,60-64,1922287.5119999999
2010-2011,California,65-69,1356908.8320000002
2010-2011,California,70-74,1017681.6240000001
2010-2011,California,75-79,753838.24
2010-2011,California,80-84,603070.5920000001
2010-2011,California,85+,640762.5040000001
2010-2011,California,total,37691912.0
2010-2011,Colorado,0-5,342825.332
2010-2011,Colorado,10-14,337708.536
2010-2011,Colorado,15-19,337708.536
2010-2011,Colorado,20-24,358175.72000000003
2010-2011,Colorado,25-29,378642.90400000004
2010-2011,Colorado,30-34,368409.31200000003
2010-2011,Colorado,35-39,342825.332
2010-2011,Colorado,40-44,363292.51599999995
2010-2011,Colorado,45-49,358175.72000000003
2010-2011,Colorado,5-9,347942.128
2010-2011,Colorado,50-54,373526.10799999995
2010-2011,Colorado,55-59,342825.332
2010-2011,Colorado,60-64,286540.57599999994
2010-2011,Colorado,65-69,189321.45200000002
2010-2011,Colorado,70-74,138153.49200000003
2010-2011,Colorado,75-79,97219.124
2010-2011,Colorado,80-84,71635.14399999999
2010-2011,Colorado,85+,76751.94
2010-2011,Colorado,total,5116796.0
2010-2011,Connecticut,0-5,196938.995
2010-2011,Connecticut,10-14,236326.79400000002
2010-2011,Connecticut,15-19,254230.33899999998
2010-2011,Connecticut,20-24,225584.66700000002
2010-2011,Connecticut,25-29,218423.24899999998
2010-2011,Connecticut,30-34,211261.831
