Diagnostic Test Type ,Surveillance Year,Week ending Code ,HHS region ,RSV Detections,RSV Tests,Outlier,week,flu_season,year_week,rsv_positivity_rate
Antigen,1011,1101,1,92.0,576.0,0,1,2011-2012,2011-01,0.1597222222222222
Antigen,1011,1102,1,74.0,534.0,0,2,2011-2012,2011-02,0.13857677902621723
Antigen,1011,1103,1,97.0,535.0,0,3,2011-2012,2011-03,0.18130841121495328
Antigen,1011,1104,1,90.0,536.0,0,4,2011-2012,2011-04,0.16791044776119404
Antigen,1011,1105,1,79.0,530.0,0,5,2011-2012,2011-05,0.1490566037735849
Antigen,1011,1106,1,113.0,620.0,0,6,2011-2012,2011-06,0.18225806451612903
Antigen,1011,1107,1,117.0,641.0,0,7,2011-2012,2011-07,0.18252730109204368
Antigen,1011,1108,1,97.0,657.0,0,8,2011-2012,2011-08,0.1476407914764079
Antigen,1011,1109,1,90.0,613.0,0,9,2011-2012,2011-09,0.1468189233278956
Antigen,1011,1110,1,73.0,652.0,0,10,2011-2012,2011-10,0.11196319018404909
Antigen,1011,1111,1,65.0,673.0,0,11,2011-2012,2011-11,0.09658246656760773
Antigen,1011,1112,1,53.0,612.0,0,12,2011-2012,2011-12,0.08660130718954248
Antigen,1011,1113,1,47.0,523.0,0,13,2011-2012,2011-13,0.08986615678776291
Antigen,1011,1114,1,28.0,431.0,0,14,2011-2012,2011-14,0.06496519721577726
Antigen,1011,1115,1,18.0,400.0,0,15,2011-2012,2011-15,0.045
Antigen,1011,1116,1,14.0,345.0,0,16,2011-2012,2011-16,0.04057971014492753
Antigen,1011,1117,1,16.0,361.0,0,17,2011-2012,2011-17,0.0443213296398892
Antigen,1011,1118,1,14.0,312.0,0,18,2011-2012,2011-18,0.04487179487179487
Antigen,1011,1119,1,6.0,284.0,0,19,2011-2012,2011-19,0.02112676056338028
Antigen,1011,1120,1,8.0,307.0,0,20,2011-2012,2011-20,0.026058631921824105
Antigen,1011,1121,1,6.0,291.0,0,21,2011-2012,2011-21,0.020618556701030927
Antigen,1011,1122,1,3.0,260.0,0,22,2011-2012,2011-22,0.011538461538461539
Antigen,1011,1123,1,0.0,245.0,0,23,2011-2012,2011-23,0.0
Antigen,1011,1124,1,1.0,224.0,0,24,2011-2012,2011-24,0.004464285714285714
Antigen,1011,1125,1,3.0,225.0,0,25,2011-2012,2011-25,0.013333333333333334
Antigen,1011,1126,1,2.0,179.0,0,26,2011-2012,2011-26,0.0111731843575419
Antigen,1011,1101,10,84.0,402.0,0,1,2011-2012,2011-01,0.208955223880597
Antigen,1011,1102,10,85.0,494.0,0,2,2011-2012,2011-02,0.1720647773279352
Antigen,1011,1103,10,149.0,546.0,0,3,2011-2012,2011-03,0.27289377289377287
Antigen,1011,1104,10,201.0,707.0,0,4,2011-2012,2011-04,0.2842998585572843
Antigen,1011,1105,10,155.0,489.0,0,5,2011-2012,2011-05,0.3169734151329243
Antigen,1011,1106,10,254.0,791.0,0,6,2011-2012,2011-06,0.3211125158027813
Antigen,1011,1107,10,229.0,830.0,0,7,2011-2012,2011-07,0.27590361445783135
Antigen,1011,1108,10,207.0,751.0,0,8,2011-2012,2011-08,0.2756324900133156
Antigen,1011,1109,10,195.0,862.0,0,9,2011-2012,2011-09,0.22621809744779584
Antigen,1011,1110,10,145.0,915.0,0,10,2011-2012,2011-10,0.15846994535519127
Antigen,1011,1111,10,122.0,708.0,0,11,2011-2012,2011-11,0.17231638418079095
Antigen,1011,1112,10,98.0,702.0,0,12,2011-2012,2011-12,0.1396011396011396
Antigen,1011,1113,10,82.0,655.0,0,13,2011-2012,2011-13,0.1251908396946565
Antigen,1011,1114,10,59.0,642.0,0,14,2011-2012,2011-14,0.09190031152647975
