region,year,week_number,temperature_mean_c,dewpoint_mean_c,relative_humidity_mean
Alabama,2002,1,-3.03,-9.73,62.0
Alabama,2002,2,2.84,-1.33,75.1
Alabama,2002,3,1.34,-4.03,69.3
Alabama,2002,4,5.36,0.48,73.5
Alabama,2002,5,9.29,5.66,79.0
Alabama,2002,6,3.04,-3.05,66.4
Alabama,2002,7,3.77,-4.2,57.8
Alabama,2002,8,5.58,-1.21,64.3
Alabama,2002,9,1.55,-5.43,63.0
Alabama,2002,10,6.57,-3.41,50.1
Alabama,2002,11,9.01,4.7,76.7
Alabama,2002,12,5.64,0.05,71.1
Alabama,2002,13,7.78,3.21,75.2
Alabama,2002,14,7.52,-0.29,60.4
Alabama,2002,15,16.09,11.94,78.4
Alabama,2002,16,22.18,17.5,76.5
Alabama,2002,17,13.11,7.06,69.5
Alabama,2002,18,14.64,8.91,70.8
Alabama,2002,19,19.63,15.08,76.5
Alabama,2002,20,13.85,8.73,73.7
Alabama,2002,21,15.43,8.77,66.5
Alabama,2002,22,23.65,18.91,76.4
Alabama,2002,23,23.64,18.8,76.0
Alabama,2002,24,22.82,17.37,72.9
Alabama,2002,25,25.31,15.34,57.1
Alabama,2002,26,25.91,21.31,77.5
Alabama,2002,27,28.47,18.55,57.9
Alabama,2002,28,25.74,17.26,62.1
Alabama,2002,29,26.53,20.29,71.2
Alabama,2002,30,27.18,21.29,72.2
Alabama,2002,31,28.43,20.5,65.4
Alabama,2002,32,25.54,15.23,56.1
Alabama,2002,33,25.15,21.04,80.1
Alabama,2002,34,26.13,20.7,73.7
Alabama,2002,35,24.24,17.67,69.0
Alabama,2002,36,26.24,16.11,57.7
Alabama,2002,37,24.0,15.31,62.7
Alabama,2002,38,21.62,18.83,85.3
Alabama,2002,39,17.69,12.9,76.3
Alabama,2002,40,20.85,17.37,81.6
Alabama,2002,41,15.11,11.25,79.6
Alabama,2002,42,10.11,5.28,73.5
Alabama,2002,43,10.86,7.5,81.1
Alabama,2002,44,6.49,3.17,80.7
