year_week,HHS region,week,flu_season,RSV Detections,RSV Tests,RSV positivity rate,HHS_population,temp_mean_C,dewpoint_mean_C,RH_mean,Vaccination Rate,HHS_area,density
2011-01,1,1,2011-2012,97.0,662.0,0.14652567975830816,14562704.0,-1.4780000000000002,-7.197999999999999,66.47999999999999,,161583,90.12522356931113
2011-01,2,1,2011-2012,409.0,972.296,0.42065379267219033,32101935.0,-0.92,-6.75,65.2,,163889,195.87608076197915
2011-01,3,1,2011-2012,309.0,1211.0,0.2551610239471511,30238794.0,-1.9600000000000002,-7.928,65.53999999999999,,331407,91.24367922222524
2011-01,4,1,2011-2012,566.0,494.179,1.1453339781739007,62356916.0,3.921666666666667,-4.204285714285715,61.449999999999996,,1021659,61.034959805571134
2011-01,5,1,2011-2012,307.0,1724.0,0.17807424593967516,51945711.0,-6.516,-11.07,71.14,,1005710,51.650785017549794
2011-01,6,1,2011-2012,658.0,631.251,1.042374586337289,39510585.0,7.612500000000001,0.20999999999999996,61.5,,1464729,26.974672447940883
2011-01,7,1,2011-2012,99.0,592.0,0.16722972972972974,13837604.0,-2.3775000000000004,-9.120000000000001,61.4,,739762,18.705480951981855
2011-01,8,1,2011-2012,136.0,1214.0,0.11202635914332784,11157404.0,-5.2025,-9.6375,72.325,,1323601,8.42958263101947
2011-01,9,1,2011-2012,506.0,231.348,2.187181216176496,48745929.0,11.165,6.1450000000000005,72.8,,1033917,47.14684931188867
2011-01,10,1,2011-2012,93.0,502.0,0.1852589641434263,13123542.0,-4.3925,-7.5325,79.35,,2379870,5.514394483732305
2011-02,1,2,2011-2012,77.0,598.0,0.12876254180602006,14562704.0,-3.8480000000000003,-8.02,73.42,,161583,90.12522356931113
2011-02,2,2,2011-2012,301.0,812.057,0.37066363568074656,32101935.0,-2.48,-7.71,68.0,,163889,195.87608076197915
2011-02,3,2,2011-2012,290.0,1102.0,0.2631578947368421,30238794.0,-3.5119999999999996,-8.873999999999999,67.92,,331407,91.24367922222524
2011-02,4,2,2011-2012,475.0,320.075,1.4840271811294228,62356916.0,0.42166666666666663,-5.925714285714286,67.13333333333334,,1021659,61.034959805571134
2011-02,5,2,2011-2012,332.0,1672.0,0.19856459330143542,51945711.0,-6.606,-9.872,78.05999999999999,,1005710,51.650785017549794
2011-02,6,2,2011-2012,690.0,631.216,1.0931281843299283,39510585.0,3.505,-3.3175,63.625,,1464729,26.974672447940883
2011-02,7,2,2011-2012,71.0,602.0,0.11794019933554817,13837604.0,-9.2775,-12.435,78.3,,739762,18.705480951981855
2011-02,8,2,2011-2012,151.0,1160.0,0.13017241379310346,11157404.0,-6.625,-11.0225,72.225,,1323601,8.42958263101947
2011-02,9,2,2011-2012,489.0,150.471,3.249795641685109,48745929.0,13.4375,6.7875,66.675,,1033917,47.14684931188867
2011-02,10,2,2011-2012,103.0,628.0,0.16401273885350318,13123542.0,-4.1675,-8.715,71.7,,2379870,5.514394483732305
2011-03,1,3,2011-2012,103.0,611.0,0.1685761047463175,14562704.0,-4.6659999999999995,-8.784,73.6,,161583,90.12522356931113
2011-03,2,3,2011-2012,284.0,860.148,0.3301757371987146,32101935.0,-1.89,-7.07,68.7,,163889,195.87608076197915
2011-03,3,3,2011-2012,384.0,1326.0,0.2895927601809955,30238794.0,-2.742,-8.01,69.17999999999999,,331407,91.24367922222524
2011-03,4,3,2011-2012,464.0,438.107,1.059102000196299,62356916.0,4.03,-1.7985714285714287,72.53333333333333,,1021659,61.034959805571134
2011-03,5,3,2011-2012,467.0,951.174,0.4909722090805678,51945711.0,-8.072,-11.778,75.3,,1005710,51.650785017549794
2011-03,6,3,2011-2012,785.0,720.557,1.0894349787733655,39510585.0,7.17,1.73,70.575,,1464729,26.974672447940883
2011-03,7,3,2011-2012,109.0,580.0,0.1879310344827586,13837604.0,-7.0175,-10.22,78.44999999999999,,739762,18.705480951981855
2011-03,8,3,2011-2012,240.0,1368.0,0.17543859649122806,11157404.0,-1.6525,-6.6925,70.875,,1323601,8.42958263101947
2011-03,9,3,2011-2012,566.0,339.599,1.666671574415708,48745929.0,15.555,6.5375,59.4,,1033917,47.14684931188867
2011-03,10,3,2011-2012,172.0,716.0,0.24022346368715083,13123542.0,0.7125000000000001,-2.38,80.775,,2379870,5.514394483732305
2011-04,1,4,2011-2012,98.0,646.0,0.15170278637770898,14562704.0,-4.078,-7.9719999999999995,74.96000000000001,,161583,90.12522356931113
2011-04,2,4,2011-2012,306.0,824.112,0.37130875414992137,32101935.0,-1.94,-6.04,74.3,,163889,195.87608076197915
2011-04,3,4,2011-2012,363.0,1335.0,0.27191011235955054,30238794.0,-0.7759999999999998,-4.626,76.52000000000001,,331407,91.24367922222524
2011-04,4,4,2011-2012,496.0,526.225,0.9425625920471281,62356916.0,6.303333333333334,0.13142857142857145,70.05,,1021659,61.034959805571134
2011-04,5,4,2011-2012,585.0,2.4480000000000004,238.9705882352941,51945711.0,-3.598,-6.396,81.17999999999999,,1005710,51.650785017549794
2011-04,6,4,2011-2012,934.0,883.821,1.056775070970253,39510585.0,9.07,2.045,64.825,,1464729,26.974672447940883
2011-04,7,4,2011-2012,188.0,829.0,0.22677925211097708,13837604.0,-2.815,-6.35,78.65,,739762,18.705480951981855
2011-04,8,4,2011-2012,326.0,1467.0,0.2222222222222222,11157404.0,-0.8125,-7.8925,62.175,,1323601,8.42958263101947
2011-04,9,4,2011-2012,599.0,320.789,1.8672710099161756,48745929.0,14.7075,4.925000000000001,56.6,,1033917,47.14684931188867
2011-04,10,4,2011-2012,212.0,861.0,0.2462253193960511,13123542.0,1.2725,-1.975,79.85,,2379870,5.514394483732305
2011-05,1,5,2011-2012,92.0,624.0,0.14743589743589744,14562704.0,-2.724,-7.156000000000001,72.6,,161583,90.12522356931113
2011-05,2,5,2011-2012,272.0,833.064,0.3265055265861927,32101935.0,-0.45,-4.67,74.2,,163889,195.87608076197915
2011-05,3,5,2011-2012,446.0,366.066,1.2183595307949933,30238794.0,0.2,-4.1899999999999995,73.78,,331407,91.24367922222524
2011-05,4,5,2011-2012,458.0,546.253,0.8384393312256408,62356916.0,6.403333333333333,1.2814285714285716,76.35000000000001,,1021659,61.034959805571134
2011-05,5,5,2011-2012,592.0,950.416,0.6228851366138617,51945711.0,-5.906000000000001,-9.936,73.96000000000001,,1005710,51.650785017549794
