year_week,HHS region,week,flu_season,RSV Detections,RSV Tests,RSV positivity rate,HHS_population,HHS_area,density,Hospitalization Rate,hosp_rate_frac,Vaccination Rate,population_65plus,area_hhs,density_65plus,temp_mean_C,dewpoint_mean_C,RH_mean
2012-01,1,1,2011-2012,97.0,662.0,0.1465256797583081,14562704.0,161583.0,90.12522356931112,,,,,161583.0,,-1.4780000000000002,-7.197999999999999,66.47999999999999
2012-01,1,1,2011-2012,149.0,621.0,0.2399355877616747,14562704.0,161583.0,90.12522356931112,,,,,161583.0,,0.852,-4.95,65.98
2013-01,1,1,2012-2013,96.0,1120.0,0.0857142857142857,14618806.0,161583.0,90.47242593589672,,,,,161583.0,,-2.152,-7.176,68.88
2014-01,1,1,2013-2014,124.0,930.0,0.1333333333333333,14680722.0,161583.0,90.85560981043798,,,,,161583.0,,-5.972,-10.39,71.88
2015-01,1,1,2014-2015,140.0,958.0,0.1461377870563674,14727584.0,161583.0,91.14562794353368,,,,,161583.0,,-0.0619999999999999,-7.075999999999999,60.56
2016-01,1,1,2015-2016,110.0,858.0,0.1282051282051282,14735525.0,161583.0,91.19477296497774,,,,,161583.0,,0.4700000000000003,-4.542,70.6
2017-01,1,1,2016-2017,147.0,1372.0,0.1071428571428571,14810001.0,161583.0,91.6556877889382,,,,,161583.0,,-0.242,-5.126,70.82000000000001
2018-01,1,1,2017-2018,207.0,121.302,1.706484641638225,14853290.0,161583.0,91.92359344733048,,,,2578433.0,161583.0,15.957328431827605,-10.238,-14.442000000000002,72.03999999999999
2019-01,1,1,2018-2019,281.0,269.436,1.042919283243516,14845063.0,161583.0,91.87267843770694,9.2,9.2e-05,,2652806.0,161583.0,16.41760581249265,3.008,-1.21,74.74
2020-01,1,1,2019-2020,303.0,26.015,11.647126657697482,14821759.0,161583.0,91.72845534493108,7.1,7.099999999999999e-05,,2577099.0,161583.0,15.949072612836746,3.826,0.45,79.46
2021-01,1,1,2020-2021,,,,,,,0.0,0.0,,2763835.0,161583.0,17.104738741080435,0.17292434244446583,-4.853688338848014,70.41085147991832
2022-01,1,1,2021-2022,,,,,,,3.6,3.6e-05,,2864632.0,161583.0,17.728548176478963,-1.4737845349769185,-6.891848356089021,67.96415337118346
2023-01,1,1,2022-2023,,,,,,,3.1,3.1e-05,,2948790.0,161583.0,18.249382670206643,4.295696607761149,1.5699522448190615,83.4807213806341
2024-01,1,1,2023-2024,,,,,,,18.0,0.00018,0.1266818666773651,3051090.0,161583.0,18.882493826702067,0.16558568577131452,-5.123021333359553,68.8127205687148
2025-01,1,1,2024-2025,,,,,,,,,0.4854553251822083,0.0,161583.0,0.0,,,
2026-01,1,1,2025-2026,,,,,,,,,0.4124368304122439,0.0,161583.0,0.0,,,
2012-02,1,2,2011-2012,77.0,598.0,0.12876254180602,14562704.0,161583.0,90.12522356931112,,,,,161583.0,,-3.848,-8.02,73.42
2012-02,1,2,2011-2012,101.0,606.0,0.1666666666666666,14562704.0,161583.0,90.12522356931112,,,,,161583.0,,-0.0199999999999999,-5.0920000000000005,69.64
