week,rsv_cases_65_baseline,flu_season,start_year,calendar_year,year_week,uptake_shape,season_week,season_cov,template_shape,vax_weekly,vax_cov,vax_weekly_lag2,vax_cov_lag2,scenario
42,80724.96411944448,2026-2027,2026,2026,2026-42,0.0,3,0.268308065494239,0.06536456158967449,0.017537839072004603,0.1175378390720046,0.0,0.0,low
43,64292.215837643445,2026-2027,2026,2026,2026-43,0.0,4,0.268308065494239,0.06214519310897873,0.016674056542835998,0.1342118956148406,0.0,0.0,low
44,51554.70032329951,2026-2027,2026,2026,2026-44,0.0,5,0.268308065494239,0.059022885208016594,0.015836316150051467,0.15004821176489208,0.017537839072004603,0.017537839072004603,low
45,70726.19698527816,2026-2027,2026,2026,2026-45,0.0,6,0.268308065494239,0.0559966423322492,0.015024350778338596,0.16507256254323066,0.016674056542835998,0.0342118956148406,low
46,61784.98855322787,2026-2027,2026,2026,2026-46,0.0,7,0.268308065494239,0.05306545850049194,0.014237890514831816,0.17931045305806248,0.015836316150051467,0.05004821176489207,low
47,74891.45784655388,2026-2027,2026,2026,2026-47,0.0,8,0.268308065494239,0.05022831697025985,0.013476662559321876,0.19278711561738437,0.015024350778338596,0.06507256254323067,low
48,78791.11519847276,2026-2027,2026,2026,2026-48,0.0,9,0.268308065494239,0.047484189884816855,0.012740391129556322,0.2055275067469407,0.014237890514831816,0.07931045305806247,low
49,93357.77378230238,2026-2027,2026,2026,2026-49,0.0,10,0.268308065494239,0.0448320379004977,0.012028797361246943,0.21755630410818763,0.013476662559321876,0.09278711561738436,low
50,99881.3248097,2026-2027,2026,2026,2026-50,0.0,11,0.268308065494239,0.04227080979272265,0.01134159920236035,0.22889790331054796,0.012740391129556322,0.10552750674694068,low
51,109526.88845336525,2026-2027,2026,2026,2026-51,0.0,12,0.268308065494239,0.03979944203895961,0.010678511301223345,0.23957641461177132,0.012028797361246943,0.11755630410818763,low
52,97597.25251858615,2026-2027,2026,2026,2026-52,0.0,13,0.268308065494239,0.037416858376699856,0.01003924488792425,0.24961565949969558,0.01134159920236035,0.12889790331054796,low
1,88716.35546435432,2026-2027,2026,2027,2027-01,0.0,14,0.268308065494239,0.02806626102658422,0.007530404201699167,0.2571460637013947,0.010678511301223345,0.1395764146117713,low
2,84828.87590899944,2026-2027,2026,2027,2027-02,0.0,15,0.268308065494239,0.026874853634218456,0.007210739989037973,0.2643568036904327,0.01003924488792425,0.14961565949969557,low
3,68763.05622401096,2026-2027,2026,2027,2027-03,0.0,16,0.268308065494239,0.02533841532331421,0.006798501198088018,0.268308065494239,0.007530404201699167,0.15714606370139472,low
4,60022.082962059045,2026-2027,2026,2027,2027-04,0.0,17,0.268308065494239,0.020957564754174735,0.00562308365666287,0.268308065494239,0.007210739989037973,0.1643568036904327,low
5,48451.11924660505,2026-2027,2026,2027,2027-05,0.0,18,0.268308065494239,0.019842931191062136,0.005324018481609178,0.268308065494239,0.006798501198088018,0.17115530488852074,low
6,48583.186685876695,2026-2027,2026,2027,2027-06,0.0,19,0.268308065494239,0.01847109284060652,0.0049559431876276235,0.268308065494239,0.00562308365666287,0.1767783885451836,low
7,43047.953588625904,2026-2027,2026,2027,2027-07,0.0,20,0.268308065494239,0.01739309097156841,0.004666706591546834,0.268308065494239,0.005324018481609178,0.18210240702679278,low
8,46424.20742004248,2026-2027,2026,2027,2027-08,0.0,21,0.268308065494239,0.01616405247948285,0.004336945651317401,0.268308065494239,0.0049559431876276235,0.18705835021442038,low
9,40645.207521865006,2026-2027,2026,2027,2027-09,0.0,22,0.268308065494239,0.015119592231622573,0.004056708542728377,0.268308065494239,0.004666706591546834,0.19172505680596724,low
10,32985.30510404069,2026-2027,2026,2027,2027-10,0.0,23,0.268308065494239,0.013932671778213189,0.00373824821197856,0.268308065494239,0.004336945651317401,0.19606200245728464,low
11,31108.524501525273,2026-2027,2026,2027,2027-11,0.0,24,0.268308065494239,0.012883281761658568,0.003456688406687822,0.268308065494239,0.004056708542728377,0.200118711000013,low
12,27001.663871025423,2026-2027,2026,2027,2027-12,0.0,25,0.268308065494239,0.011821258099295946,0.0031717388923302,0.268308065494239,0.00373824821197856,0.20385695921199157,low
13,28771.483090703416,2026-2027,2026,2027,2027-13,0.0,26,0.268308065494239,0.010794367430770635,0.002896215843584088,0.268308065494239,0.003456688406687822,0.2073136476186794,low
14,25397.346219665214,2026-2027,2026,2027,2027-14,0.0,27,0.268308065494239,0.009874724554315619,0.002649468242456885,0.268308065494239,0.0031717388923302,0.2104853865110096,low
15,21840.778408156617,2026-2027,2026,2027,2027-15,0.0,28,0.268308065494239,0.008977329209662462,0.0024086898335494607,0.268308065494239,0.002896215843584088,0.2133816023545937,low
16,23477.614230762567,2026-2027,2026,2027,2027-16,0.0,29,0.268308065494239,0.008109688823336632,0.002175894919949703,0.268308065494239,0.002649468242456885,0.21603107059705057,low
17,18186.54786064728,2026-2027,2026,2027,2027-17,0.0,30,0.268308065494239,0.0072920849705532765,0.0019565252118687645,0.268308065494239,0.0024086898335494607,0.2184397604306,low
42,80724.96411944448,2027-2028,2027,2027,2027-42,0.0,3,0.3408432574569941,0.06536456158967449,0.022279070094472973,0.12227907009447297,0.0,0.0,low
43,64292.215837643445,2027-2028,2027,2027,2027-43,0.0,4,0.3408432574569941,0.06214519310897873,0.021181770054558253,0.14346084014903124,0.0,0.0,low
44,51554.70032329951,2027-2028,2027,2027,2027-44,0.0,5,0.3408432574569941,0.059022885208016594,0.02011755245881061,0.16357839260784185,0.022279070094472973,0.022279070094472973,low
45,70726.19698527816,2027-2028,2027,2027,2027-45,0.0,6,0.3408432574569941,0.0559966423322492,0.01908607797917803,0.18266447058701987,0.021181770054558253,0.043460840149031225,low
